Height,Weight,Sex,Shifted Height,Shifted Weight,Sex,,Avg height,Avg weight
165.65,35.41,Female,4.299573333,-32.99061,0,,161.3504267,68.40061
148.53,74.45,Female,-12.82042667,6.04939,0,,,
167.04,81.22,Male,5.689573333,12.81939,1,,,
161.54,71.47,Male,0.189573333,3.06939,1,,,
174.31,78.18,Male,12.95957333,9.77939,1,,,
143.05,79.27,Female,-18.30042667,10.86939,0,,,
149.16,63.71,Female,-12.19042667,-4.69061,0,,,
155.8,86.01,Female,-5.550426667,17.60939,0,,,
145.37,88.33,Female,-15.98042667,19.92939,0,,,
162.56,87.36,Male,1.209573333,18.95939,1,,,
163.84,78.58,Male,2.489573333,10.17939,1,,,
172.73,88.08,Male,11.37957333,19.67939,1,,,
142.03,56.3,Female,-19.32042667,-12.10061,0,,,
150.17,53.46,Female,-11.18042667,-14.94061,0,,,
188.62,60.95,Male,27.26957333,-7.45061,1,,,
184.62,72.51,Male,23.26957333,4.10939,1,,,
168.43,86.8,Male,7.079573333,18.39939,1,,,
171.19,54.12,Male,9.839573333,-14.28061,1,,,
137.1,73.36,Female,-24.25042667,4.95939,0,,,
149.42,69.2,Female,-11.93042667,0.79939,0,,,
147.33,56.01,Female,-14.02042667,-12.39061,0,,,
175.14,107.25,Male,13.78957333,38.84939,1,,,
168.04,92.24,Male,6.689573333,23.83939,1,,,
158.54,64.44,Male,-2.810426667,-3.96061,1,,,
138.9,68.75,Female,-22.45042667,0.34939,0,,,
129.27,58.43,Female,-32.08042667,-9.97061,0,,,
173.64,59.52,Female,12.28957333,-8.88061,0,,,
175.26,62.65,Male,13.90957333,-5.75061,1,,,
180.09,44.07,Male,18.73957333,-24.33061,1,,,
144.58,83.36,Female,-16.77042667,14.95939,0,,,
178.76,66.12,Male,17.40957333,-2.28061,1,,,
151.53,91.02,Male,-9.820426667,22.61939,1,,,
168.55,80.2,Male,7.199573333,11.79939,1,,,
160.86,63.68,Male,-0.490426667,-4.72061,1,,,
183.83,62.75,Male,22.47957333,-5.65061,1,,,
179.27,50.04,Male,17.91957333,-18.36061,1,,,
158.89,60.49,Male,-2.460426667,-7.91061,1,,,
124.37,74.57,Female,-36.98042667,6.16939,0,,,
140.42,54.64,Female,-20.93042667,-13.76061,0,,,
155.06,84.34,Male,-6.290426667,15.93939,1,,,
166.62,75.18,Male,5.269573333,6.77939,1,,,
172.96,78.39,Male,11.60957333,9.98939,1,,,
174.34,84.76,Male,12.98957333,16.35939,1,,,
165.09,83.54,Female,3.739573333,15.13939,0,,,
138.09,63.06,Female,-23.26042667,-5.34061,0,,,
141.31,52.13,Female,-20.04042667,-16.27061,0,,,
162.63,65.25,Male,1.279573333,-3.15061,1,,,
178.49,73.67,Male,17.13957333,5.26939,1,,,
165.95,52.42,Male,4.599573333,-15.98061,1,,,
156.92,54.45,Female,-4.430426667,-13.95061,0,,,
135.28,63.91,Female,-26.07042667,-4.49061,0,,,
145.79,68.34,Female,-15.56042667,-0.06061,0,,,
153.9,77.5,Male,-7.450426667,9.09939,1,,,
171.09,87.8,Male,9.739573333,19.39939,1,,,
142.89,73.04,Female,-18.46042667,4.63939,0,,,
159.81,61.4,Female,-1.540426667,-7.00061,0,,,
130.32,52.81,Female,-31.03042667,-15.59061,0,,,
162.79,94.37,Male,1.439573333,25.96939,1,,,
202.67,110.01,Male,41.31957333,41.60939,1,,,
171.81,82.74,Male,10.45957333,14.33939,1,,,
164.36,70.33,Male,3.009573333,1.92939,1,,,
166.39,43.02,Male,5.039573333,-25.38061,1,,,
135.27,54.87,Female,-26.08042667,-13.53061,0,,,
146.8,57.93,Female,-14.55042667,-10.47061,0,,,
147.48,73.7,Male,-13.87042667,5.29939,1,,,
161.79,43.37,Male,0.439573333,-25.03061,1,,,
173.46,98.82,Male,12.10957333,30.41939,1,,,
162.64,63.9,Male,1.289573333,-4.50061,1,,,
185.85,75.22,Male,24.49957333,6.81939,1,,,
133.58,63.28,Female,-27.77042667,-5.12061,0,,,
174.4,80.63,Male,13.04957333,12.22939,1,,,
169,72.22,Male,7.649573333,3.81939,1,,,
165.7,59.89,Male,4.349573333,-8.51061,1,,,
163.96,78.33,Male,2.609573333,9.92939,1,,,
179,61.11,Male,17.64957333,-7.29061,1,,,
165.85,53.76,Female,4.499573333,-14.64061,0,,,
155.24,80.46,Female,-6.110426667,12.05939,0,,,
159.07,71.68,Female,-2.280426667,3.27939,0,,,
147.64,62.48,Female,-13.71042667,-5.92061,0,,,
156.37,86.07,Female,-4.980426667,17.66939,0,,,
168.14,88.04,Male,6.789573333,19.63939,1,,,
156.84,83.14,Male,-4.510426667,14.73939,1,,,
187.53,78.35,Male,26.17957333,9.94939,1,,,
190.75,71.14,Male,29.39957333,2.73939,1,,,
174.11,88.22,Male,12.75957333,19.81939,1,,,
154.95,73.53,Female,-6.400426667,5.12939,0,,,
175.71,64.29,Male,14.35957333,-4.11061,1,,,
159.27,70.23,Female,-2.080426667,1.82939,0,,,
149.4,63.92,Female,-11.95042667,-4.48061,0,,,
181.4,65.29,Male,20.04957333,-3.11061,1,,,
169.6,60.53,Male,8.249573333,-7.87061,1,,,
162.59,111.01,Male,1.239573333,42.60939,1,,,
177.99,66,Male,16.63957333,-2.40061,1,,,
147.03,74.86,Female,-14.32042667,6.45939,0,,,
155.17,56.83,Female,-6.180426667,-11.57061,0,,,
158.12,58.54,Female,-3.230426667,-9.86061,0,,,
153.5,58.89,Female,-7.850426667,-9.51061,0,,,
153.12,76.97,Male,-8.230426667,8.56939,1,,,
161,72.74,Male,-0.350426667,4.33939,1,,,
175.14,78.87,Male,13.78957333,10.46939,1,,,
154.3,80.71,Female,-7.050426667,12.30939,0,,,
150.76,81.39,Female,-10.59042667,12.98939,0,,,
189.32,102.21,Male,27.96957333,33.80939,1,,,
170.51,94.81,Male,9.159573333,26.40939,1,,,
190.74,76.88,Male,29.38957333,8.47939,1,,,
146.94,46.75,Female,-14.41042667,-21.65061,0,,,
